user_id,first_name,last_name,email,company_name,domain_name,signup_date,plan,monthly_fee,status,last_login,total_revenue_generated,signup_month,signup_year
88,Jose,Price,jose.price@davis.com,Fields-Richardson,wright.org,2023-07-07,Starter,47,Canceled,2023-09-26,329,7,2023
89,Taylor,Flores,taylor.flores@huff.info,Klein-Harvey,reynolds.com,2023-01-29,Enterprise,199,Canceled,2023-04-09,1194,1,2023
90,Daniel,Lewis,daniel.lewis@avila-carroll.com,Smith-Gomez,koch.org,2024-06-24,Professional,97,Canceled,2024-12-29,970,6,2024
91,Kathy,Rice,kathy.rice@english-lambert.com,Spencer LLC,mclaughlin.org,2024-01-19,Professional,97,Active,2024-12-29,2037,1,2024
92,Elizabeth,Webster,elizabeth.webster@novak.org,Horton Ltd,stanley.com,2024-12-08,Professional,97,Canceled,2024-12-14,970,12,2024
93,Andres,King,andres.king@barton-mccarthy.com,"Lucero, Martin and Adams",hanson.com,2024-09-14,Professional,97,Active,2024-09-29,2037,9,2024
94,Dominic,Smith,dominic.smith@watts.info,"Jones, Charles and Browning",harris.net,2024-05-06,Professional,97,Active,2024-07-31,873,5,2024
95,Joshua,Smith,joshua.smith@walls.com,Lee-Rodriguez,frost.org,2023-08-24,Starter,47,Active,2023-09-16,470,8,2023
96,Yvonne,Hurst,yvonne.hurst@ruiz.com,"Hughes, Francis and Salazar",ross.net,2024-06-30,Starter,47,Canceled,2024-08-14,94,6,2024
97,Michael,Wilson,michael.wilson@ford.info,Fisher Group,green.net,2023-02-27,Enterprise,199,Canceled,2024-10-07,1393,2,2023
98,Mark,Johnson,mark.johnson@young.org,"Logan, Cochran and Smith",eaton.com,2023-08-25,Professional,97,Canceled,2024-08-20,970,8,2023
99,Emily,Ponce,emily.ponce@davis-castro.com,"Hall, Crawford and Salazar",santiago.info,2023-11-30,Starter,47,Canceled,2024-10-27,188,11,2023
100,Stephanie,Jones,stephanie.jones@wade.com,"Harrison, Gibbs and Cook",harrison-griffith.com,2024-11-09,Enterprise,199,Active,2025-01-19,199,11,2024
101,Teresa,Vazquez,teresa.vazquez@bell.biz,"Carr, Jones and Richardson",barajas.info,2024-11-04,Enterprise,199,Canceled,2024-12-31,1990,11,2024
102,Mark,Anderson,mark.anderson@pennington.org,Murillo Ltd,alvarez-cortez.com,2023-02-13,Enterprise,199,Canceled,2023-11-08,1990,2,2023
103,Tiffany,Davenport,tiffany.davenport@green.org,Dunn LLC,webster.com,2023-12-07,Enterprise,199,Canceled,2024-01-24,1990,12,2023
104,Alejandro,Hunter,alejandro.hunter@morse-steele.com,"Ferguson, Hernandez and Jackson",vasquez-rasmussen.info,2023-08-22,Professional,97,Active,2024-01-30,388,8,2023
105,David,Edwards,david.edwards@ayers.net,Lambert PLC,lee.org,2023-10-20,Starter,47,Canceled,2024-03-07,235,10,2023
106,Daniel,Thompson,daniel.thompson@smith.com,Flores Ltd,guerrero.com,2023-10-29,Enterprise,199,Canceled,2024-04-29,1592,10,2023
107,Ashley,Smith,ashley.smith@west.com,Jones-Washington,riley-williams.com,2024-11-15,Enterprise,199,Active,2025-01-14,2587,11,2024
108,Cynthia,Castillo,cynthia.castillo@smith-ford.org,Smith-Little,davidson.com,2023-03-07,Professional,97,Active,2024-09-14,2328,3,2023
109,Maria,Gregory,maria.gregory@dillon.com,Gilmore-Kidd,cabrera.biz,2023-05-29,Starter,47,Active,2023-08-05,658,5,2023
110,Kimberly,Howell,kimberly.howell@hall.com,Barnett-Spencer,cook.com,2023-05-13,Enterprise,199,Active,2024-01-29,2985,5,2023
111,George,Gay,george.gay@dean.com,Martinez-Mcclure,mitchell.net,2024-01-30,Professional,97,Active,2024-08-14,1358,1,2024
112,Aaron,Moyer,aaron.moyer@morton.com,"Gonzalez, Conner and Walton",robertson.info,2023-04-10,Starter,47,Active,2024-09-01,611,4,2023
113,Albert,Flores,albert.flores@brady.com,Sherman-Dillon,anderson-davis.org,2023-12-14,Starter,47,Active,2024-03-10,799,12,2023
114,Justin,Reed,justin.reed@morris.com,"Gonzalez, Velez and Butler",collins-lowe.com,2023-11-01,Enterprise,199,Canceled,2024-11-22,1990,11,2023
115,Ralph,Lamb,ralph.lamb@gonzales.com,"Becker, Whitney and Patel",callahan.com,2024-11-26,Starter,47,Canceled,2024-12-12,517,11,2024
116,Stephanie,Carson,stephanie.carson@alexander.com,"Ortiz, Bennett and Young",little.com,2024-06-08,Enterprise,199,Active,2024-07-05,4179,6,2024
117,Brian,Armstrong,brian.armstrong@perez.com,Mills-Johnson,hancock.com,2024-05-21,Professional,97,Canceled,2024-06-26,1067,5,2024
118,Christina,Warren,christina.warren@stanton.biz,"Schneider, Ruiz and Williams",lucero-riley.com,2024-12-15,Enterprise,199,Canceled,2025-01-01,1393,12,2024
119,Michael,Kirby,michael.kirby@harris-williams.biz,"Wade, Jones and Fowler",buckley-smith.com,2023-08-11,Professional,97,Active,2023-08-14,291,8,2023
120,Thomas,Robertson,thomas.robertson@freeman.info,"Perez, Humphrey and Maddox",sutton.com,2024-05-10,Enterprise,199,Canceled,2024-06-17,1194,5,2024
121,Kevin,Cummings,kevin.cummings@lawson-kelley.com,Gibson-Day,long.com,2023-12-25,Starter,47,Canceled,2025-01-07,329,12,2023
122,Amanda,Welch,amanda.welch@conner-burke.biz,West and Sons,west-king.com,2023-10-20,Enterprise,199,Canceled,2024-04-27,2189,10,2023
123,David,Thomas,david.thomas@thompson.net,Cherry-Spencer,kim.org,2023-09-07,Enterprise,199,Canceled,2024-12-26,1393,9,2023
124,Amy,Smith,amy.smith@henderson.info,Patterson Ltd,lozano.com,2023-09-04,Starter,47,Canceled,2024-05-30,141,9,2023
125,Tammy,Park,tammy.park@henry-thompson.info,Perez-Grant,lutz-barton.com,2023-01-30,Professional,97,Canceled,2023-04-13,388,1,2023
126,Justin,Nelson,justin.nelson@owen.com,"Stokes, Duke and Williams",bowers.com,2024-06-11,Professional,97,Active,2024-07-16,1261,6,2024
127,Brad,Williams,brad.williams@marshall-ochoa.com,"Perez, Anderson and Hopkins",alexander.com,2024-12-08,Professional,97,Active,2024-12-11,97,12,2024
128,Aaron,Weiss,aaron.weiss@hughes.info,Thompson LLC,jones-herman.com,2023-05-29,Enterprise,199,Active,2024-12-19,2189,5,2023
129,Ray,Ford,ray.ford@jones.com,Jennings-Rubio,crane.info,2023-02-19,Starter,47,Canceled,2025-01-02,47,2,2023
130,Brendan,Miller,brendan.miller@grimes-reyes.net,Wright-Collins,dean.info,2024-11-24,Starter,47,Active,2024-12-21,658,11,2024
131,Brendan,Johnson,brendan.johnson@erickson.com,"Johnson, Robinson and Garza",smith.com,2024-03-26,Starter,47,Canceled,2024-09-07,47,3,2024
132,Michelle,Rojas,michelle.rojas@jackson.info,"Livingston, Hicks and Allen",jenkins.com,2024-09-10,Enterprise,199,Canceled,2024-11-09,796,9,2024
133,Kathy,Thompson,kathy.thompson@klein.com,Peters Inc,barrett.com,2024-10-26,Enterprise,199,Canceled,2024-12-11,995,10,2024
134,Erin,Torres,erin.torres@hicks.com,Torres-Marsh,franklin-adams.com,2023-05-08,Enterprise,199,Active,2023-12-19,2189,5,2023
135,Andrea,Barr,andrea.barr@reynolds-ross.net,Rivera Inc,cobb.info,2024-10-19,Enterprise,199,Active,2024-11-01,796,10,2024
136,William,Fisher,william.fisher@chaney-ross.org,Gonzales-Franklin,gill-graham.net,2024-12-24,Enterprise,199,Active,2024-12-28,3980,12,2024
137,James,Holland,james.holland@coleman.com,Sanford-Walter,gamble.com,2023-02-26,Starter,47,Canceled,2024-06-26,470,2,2023
138,Scott,Kim,scott.kim@yang-price.com,"Marks, Whitney and Cisneros",jordan.com,2024-02-18,Enterprise,199,Active,2024-10-19,2388,2,2024
139,Denise,Johnson,denise.johnson@allen.info,Brown-Bradley,hester.com,2023-08-26,Enterprise,199,Canceled,2024-08-31,2189,8,2023
140,Michael,Lopez,michael.lopez@dixon.com,"Murray, Norris and Harvey",thomas.biz,2023-06-05,Enterprise,199,Active,2024-07-12,199,6,2023
141,Phillip,Lewis,phillip.lewis@torres.com,"Simpson, Carrillo and Howard",gill.org,2023-08-16,Starter,47,Active,2024-02-25,47,8,2023
142,Tonya,Banks,tonya.banks@diaz.net,Moore Ltd,smith.com,2023-09-12,Starter,47,Active,2024-11-25,752,9,2023
143,Michael,Jones,michael.jones@mitchell.biz,Tucker-Howard,johnson-gilbert.net,2023-07-25,Enterprise,199,Canceled,2024-02-15,1990,7,2023
144,Benjamin,Fox,benjamin.fox@nguyen.com,Collins-Collins,paul-harris.info,2023-03-07,Starter,47,Active,2023-06-19,705,3,2023
145,Julia,Crawford,julia.crawford@wilson.com,Davis-Galvan,hamilton-cruz.net,2023-08-12,Enterprise,199,Canceled,2023-09-02,796,8,2023
146,Daniel,Clayton,daniel.clayton@smith.biz,Mann-Ruiz,ritter.net,2023-11-05,Enterprise,199,Active,2024-07-07,199,11,2023
147,Molly,Leblanc,molly.leblanc@campos.com,Edwards Inc,dunlap.info,2023-03-19,Professional,97,Canceled,2024-05-21,388,3,2023
148,Brianna,Patel,brianna.patel@black.info,Salas Group,reeves.com,2023-02-11,Starter,47,Active,2024-05-15,517,2,2023
149,Larry,Myers,larry.myers@dodson-marshall.net,Jones-Torres,ross-nelson.biz,2024-11-08,Enterprise,199,Active,2024-12-25,3781,11,2024
150,Leslie,Griffith,leslie.griffith@burch-williams.com,"Foley, Jones and Leonard",lopez.com,2023-04-24,Professional,97,Canceled,2024-07-30,970,4,2023
151,Robert,Harvey,robert.harvey@peters-martin.com,Bailey-Duran,smith.com,2024-09-05,Enterprise,199,Active,2024-10-24,1990,9,2024
152,Lisa,Doyle,lisa.doyle@shea.com,"Mcpherson, Petty and Contreras",larsen.info,2023-09-07,Professional,97,Canceled,2024-04-10,776,9,2023
153,Sonya,Rose,sonya.rose@jordan.com,Mitchell LLC,cooper-caldwell.info,2023-09-12,Enterprise,199,Canceled,2024-12-27,796,9,2023
154,Maria,Ramirez,maria.ramirez@hill.com,"Chen, Dennis and Lambert",jones-velez.com,2024-11-09,Professional,97,Canceled,2025-01-15,194,11,2024
155,Joseph,Underwood,joseph.underwood@martinez.biz,Gonzalez-Douglas,rodriguez-gonzalez.com,2024-11-18,Professional,97,Active,2024-11-23,1455,11,2024
156,Katrina,Walker,katrina.walker@murphy-williamson.com,Patterson LLC,thompson-harris.com,2024-04-15,Enterprise,199,Active,2025-01-15,3980,4,2024
157,Jessica,Foster,jessica.foster@johnson.com,Douglas-Lee,peterson.com,2024-06-04,Enterprise,199,Active,2024-10-11,1990,6,2024
158,Brian,Swanson,brian.swanson@king-galloway.org,"Casey, Crosby and Herrera",jackson.com,2024-10-16,Enterprise,199,Active,2025-01-20,3980,10,2024
159,Tracy,Flores,tracy.flores@thomas-campbell.com,"Lowe, Archer and Madden",delgado.info,2024-12-06,Starter,47,Canceled,2025-01-18,564,12,2024
160,Jessica,Garcia,jessica.garcia@boyd.com,Mckenzie-Perez,barron.biz,2023-05-20,Enterprise,199,Active,2023-07-19,3980,5,2023
161,Sherry,Camacho,sherry.camacho@jenkins.net,Sims-Brown,rasmussen.com,2025-01-19,Starter,47,Active,2025-01-20,611,1,2025
162,Troy,Scott,troy.scott@walker.org,Lee and Sons,walsh.org,2023-02-18,Enterprise,199,Canceled,2023-03-19,1592,2,2023
163,Kelly,Gill,kelly.gill@miranda.net,Clark-Jenkins,hendricks.com,2024-08-17,Enterprise,199,Canceled,2024-08-17,1393,8,2024
164,Sarah,Howard,sarah.howard@robinson.org,Watkins-Mills,cowan.com,2024-06-01,Starter,47,Active,2024-11-28,282,6,2024
165,Jesus,Hall,jesus.hall@mueller.com,Galloway-Durham,roy-pacheco.com,2023-03-10,Professional,97,Canceled,2024-02-25,485,3,2023
166,Matthew,Rosario,matthew.rosario@fitzgerald.com,Ray and Sons,flores.biz,2024-03-26,Enterprise,199,Canceled,2024-09-15,1791,3,2024
167,Joshua,Blackburn,joshua.blackburn@foster.info,"Peterson, Morgan and Holmes",scott.net,2023-04-05,Enterprise,199,Canceled,2025-01-12,1194,4,2023
168,Julie,Martin,julie.martin@baldwin.com,Alexander-Martinez,carter.com,2024-10-10,Enterprise,199,Canceled,2024-12-11,2388,10,2024
169,Melissa,Estrada,melissa.estrada@smith.com,Rodriguez-Trujillo,ochoa.com,2024-09-04,Enterprise,199,Active,2024-11-14,796,9,2024
170,Krystal,Young,krystal.young@swanson.org,Friedman Group,smith-smith.net,2024-12-31,Enterprise,199,Active,2025-01-15,398,12,2024
171,Andrew,White,andrew.white@klein.com,Roberts Ltd,campbell.info,2024-07-26,Enterprise,199,Active,2024-10-27,2786,7,2024
172,Stacy,Parsons,stacy.parsons@robinson-roman.net,Cole-Smith,baker.net,2023-06-22,Professional,97,Canceled,2024-08-11,970,6,2023
173,Lindsey,Sanchez,lindsey.sanchez@lowe.com,"Mcgee, Cooper and Mcclure",sullivan.com,2024-10-22,Starter,47,Active,2025-01-12,470,10,2024
174,Matthew,Rice,matthew.rice@gould.com,Lynch LLC,church.com,2024-09-19,Professional,97,Active,2024-11-28,291,9,2024
175,Amanda,Patterson,amanda.patterson@howell-cruz.info,"Gallagher, Stewart and Jenkins",montoya.com,2023-05-05,Professional,97,Canceled,2023-08-21,970,5,2023
176,Sarah,Rose,sarah.rose@dixon.com,"Welch, Ryan and Caldwell",carter.org,2023-03-15,Enterprise,199,Canceled,2024-12-26,1990,3,2023
177,Raymond,Mayo,raymond.mayo@campbell.com,Meyer PLC,wilson.info,2023-05-12,Enterprise,199,Active,2024-09-23,2189,5,2023
178,Elijah,Harmon,elijah.harmon@kelly.com,Davis-Johnson,johnson-adams.com,2023-05-28,Starter,47,Canceled,2023-11-21,188,5,2023
179,Frank,Wilcox,frank.wilcox@lewis.biz,Rodriguez and Sons,haley.net,2023-05-25,Starter,47,Canceled,2024-10-27,141,5,2023
180,Jessica,Alexander,jessica.alexander@wolfe-francis.com,Allen-Warner,beck.com,2024-11-10,Starter,47,Canceled,2024-12-09,94,11,2024
181,Carmen,Gibson,carmen.gibson@brooks.org,"Terry, Ramirez and Hernandez",garrett.org,2024-09-19,Starter,47,Active,2025-01-14,799,9,2024
182,Earl,Jones,earl.jones@flynn.com,"Wright, Williams and Thomas",baird.com,2024-04-09,Professional,97,Canceled,2024-10-25,776,4,2024
183,Carol,Rodriguez,carol.rodriguez@combs.com,"Combs, Shelton and Wilcox",curtis.info,2024-07-27,Enterprise,199,Canceled,2024-10-01,796,7,2024
184,George,Bond,george.bond@summers-manning.com,Davidson PLC,barnes.info,2024-06-21,Professional,97,Canceled,2024-08-18,970,6,2024
185,Justin,Bell,justin.bell@maldonado-newman.biz,"Roberts, Rodriguez and Warner",hernandez.com,2023-08-23,Starter,47,Active,2024-12-06,799,8,2023
